product_id,name,category,brand,price,stock,rating
1,MacBook Pro M4 14,Laptop,Apple,10677.59,10.0,4.7
2,RTX 5070 Ti 16GB,GPU,NVIDIA,771.27,13.0,4.9
3,Core Ultra 5 245K,CPU,Intel,323.46,12.0,4.3
4,16GB DDR5-5600,RAM,Kingston,50.02,47.0,4.2
5,27in 4K OLED 240Hz,Monitor,ASUS,891.3,5.0,4.7
6,Ryzen 7 9700X,CPU,AMD,371.17,16.0,4.7
7,2TB 990 PRO,SSD,Samsung,162.96,31.0,4.8
8,Core Ultra 5 245K,CPU,Intel,315.38,17.0,4.4
9,1TB 990 EVO Plus,SSD,Samsung,93.31,37.0,4.6
10,B650 Tomahawk WiFi,Motherboard,MSI,180.39,13.0,4.8
11,B650 AORUS Elite AX,Motherboard,Gigabyte,201.85,16.0,4.5
12,16GB DDR5-5600,RAM,Kingston,51.63,101.0,4.5
13,RTX 5090 32GB,GPU,NVIDIA,1971.22,4.0,5.0
15,Core Ultra 7 265K,CPU,Intel,354.57,11.0,4.6
16,RX 9070 XT 16GB,GPU,AMD,597.27,8.0,4.8
17,G Pro X Superlight 2,Mouse,Logitech,154.61,18.0,4.8
18,Ryzen 7 7800X3D,CPU,AMD,386.98,8.0,4.8
19,2TB 990 PRO,SSD,Samsung,161.14,30.0,4.9
20,1TB KC3000,SSD,Kingston,77.23,34.0,4.7
21,H6 Flow,Case,NZXT,114.85,14.0,4.7
22,27in 4K OLED 240Hz,Monitor,ASUS,874.37,6.0,4.9
23,X870E AORUS Master,Motherboard,Gigabyte,491.71,7.0,4.6
24,Lancool 216,Case,Lian Li,95.08,14.0,4.6
25,MacBook Pro M4 14,Laptop,Apple,1534.71,10.0,4.9
26,B650 Tomahawk WiFi,Motherboard,MSI,187.29,22.0,4.7
27,G Pro X Superlight 2,Mouse,Logitech,166.92,13.0,4.8
28,27in 4K OLED 240Hz,Monitor,ASUS,927.08,6.0,4.7
29,1TB SN850X,SSD,WD,94.25,27.0,4.9
30,1TB 990 EVO Plus,SSD,Samsung,95.09,38.0,4.6
31,RTX 5090 32GB,GPU,NVIDIA,2088.91,4.0,4.9
33,27in 4K 144Hz,Monitor,LG,472.59,10.0,4.6
34,G Pro X Superlight 2,Mouse,Logitech,166.92,13.0,4.8
